mode,p,run,wall_seconds,steps,status
serial,1,1,110.323614685,6926,ok
serial,1,2,110.679773765,6926,ok
omp,1,1,107.468972625,6926,ok
omp,1,2,107.62812255,6926,ok
omp,2,1,56.949271153,6926,ok
omp,2,2,56.20608464,6926,ok
omp,4,1,33.519611618,6926,ok
omp,4,2,33.531300202,6926,ok
omp,8,1,28.426047987,6926,ok
omp,8,2,30.923403268,6926,ok
omp,16,1,34.274807539,6926,ok
omp,16,2,34.218028072,6926,ok
mpi,1,1,112.462,6926,ok
mpi,1,2,112.197,6926,ok
mpi,2,1,57.4899,6926,ok
mpi,2,2,57.6804,6926,ok
mpi,4,1,30.2949,6926,ok
mpi,4,2,30.491,6926,ok
mpi,8,1,18.7234,6926,ok
mpi,8,2,18.6727,6926,ok
mpi,16,1,11.8895,6926,ok
mpi,16,2,10.6265,6926,ok
