mode,p,run,nx,copies_y,ny,wall_seconds,steps,status
serial,1,1,500,1,197,111.847944771,6926,ok
serial,1,2,500,1,197,111.725758611,6926,ok
omp,1,1,500,1,197,108.534422111,6926,ok
omp,1,2,500,1,197,108.461112837,6926,ok
omp,2,1,500,2,394,115.17454936,6930,ok
omp,2,2,500,2,394,113.369035168,6930,ok
omp,4,1,500,4,788,121.852592545,6930,ok
omp,4,2,500,4,788,119.394470727,6930,ok
omp,8,1,500,8,1576,131.958611512,6925,ok
omp,8,2,500,8,1576,127.038264102,6925,ok
omp,16,1,500,16,3152,154.262841664,6925,ok
omp,16,2,500,16,3152,155.357704779,6925,ok
mpi,1,1,500,1,197,110.559412262,6926,ok
mpi,1,2,500,1,197,110.20978675,6926,ok
mpi,2,1,500,2,394,115.229123936,6930,ok
mpi,2,2,500,2,394,114.209643202,6930,ok
mpi,4,1,500,4,788,117.21078619,6930,ok
mpi,4,2,500,4,788,118.403807047,6930,ok
mpi,8,1,500,8,1576,121.78069039,6925,ok
mpi,8,2,500,8,1576,118.38635598,6925,ok
mpi,16,1,500,16,3152,126.474193837,6925,ok
mpi,16,2,500,16,3152,125.974040414,6925,ok
